epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,2778.27,0.81955,2.22368,0.90689,0.93554,0,0.50828,0.4434,0.41088,0.25746,0.4277,0.36858,0.30967,0.15879,0.78117,2.16578,0.89684,0.94204,0,0.000357564,0.000357564,0.000357564
43,2843.04,0.81024,2.166,0.90033,0.93591,0,0.48697,0.43328,0.39123,0.24888,0.41982,0.3628,0.28802,0.14867,0.78296,2.19642,0.9202,0.94212,0,0.000349224,0.000349224,0.000349224
44,2908.35,0.80885,2.15416,0.90984,0.92867,0,0.50514,0.41943,0.4006,0.25469,0.4435,0.37454,0.31344,0.16002,0.77412,2.17521,0.90249,0.93956,0,0.000340817,0.000340817,0.000340817
45,2974.62,0.81357,2.18874,0.87999,0.92806,0,0.56774,0.44333,0.40093,0.25291,0.49624,0.36439,0.30613,0.15612,0.77047,2.14011,0.8853,0.93379,0,0.000332351,0.000332351,0.000332351
46,3040.16,0.81109,2.14571,0.89403,0.93,0,0.49654,0.43793,0.4029,0.25692,0.42834,0.38001,0.30737,0.16319,0.77651,2.14927,0.88572,0.93624,0,0.000323834,0.000323834,0.000323834
47,3105.71,0.80264,2.16856,0.87784,0.92669,0,0.61158,0.40561,0.3933,0.25609,0.55332,0.35269,0.31399,0.16553,0.76583,2.13949,0.88625,0.93136,0,0.000315274,0.000315274,0.000315274
48,3170.97,0.79741,2.17143,0.86715,0.93031,0,0.59075,0.42965,0.40653,0.26126,0.52551,0.36515,0.31713,0.1645,0.76885,2.17676,0.8839,0.93378,0,0.00030668,0.00030668,0.00030668
49,3236.3,0.79872,2.10641,0.87143,0.92513,0,0.56662,0.45573,0.40371,0.25802,0.52064,0.38688,0.31256,0.16456,0.77841,2.20883,0.89773,0.93709,0,0.000298061,0.000298061,0.000298061
50,3303.2,0.7977,2.14843,0.86984,0.92527,0,0.60385,0.42786,0.40047,0.26016,0.54307,0.37147,0.31893,0.16317,0.77098,2.14453,0.8745,0.93391,0,0.000289425,0.000289425,0.000289425
51,3370.26,0.78856,2.10887,0.85923,0.92294,0,0.50763,0.45244,0.40249,0.25739,0.43798,0.37704,0.30263,0.15516,0.775,2.20913,0.89046,0.93394,0,0.00028078,0.00028078,0.00028078
