species_id,species_name,rank,neighbor_id,neighbor_name,distance
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,2,0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0.49811730344059124
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,3,0269,Erythrophleum ivorense A. Chev,0.5104519285849911
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,4,0480,Peltogyne mexicana Martínez,0.5219932620290422
0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,5,0399,Lovoa trichilioides Harms,0.5293914913874339
0091,Brachystegia Benth.,1,0092,Brachystegia cynometroides Harms,0.20465118614626276
0091,Brachystegia Benth.,2,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.24707494982250633
0091,Brachystegia Benth.,3,0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0.28555073930056274
0091,Brachystegia Benth.,4,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.3108429904957003
0091,Brachystegia Benth.,5,0478,Peltogyne Vogel,0.33474084241197677
0092,Brachystegia cynometroides Harms,1,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.12668117322364278
0092,Brachystegia cynometroides Harms,2,0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,0.13636410761101436
0092,Brachystegia cynometroides Harms,3,0478,Peltogyne Vogel,0.1477281794342601
0092,Brachystegia cynometroides Harms,4,0091,Brachystegia Benth.,0.20465118614626276
0092,Brachystegia cynometroides Harms,5,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.2279437533760692
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,1,0092,Brachystegia cynometroides Harms,0.13636410761101436
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,2,0301,Gilbertiodendron dewevrei (De Wild.) J.Léonard,0.16204864550885345
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,3,0478,Peltogyne Vogel,0.19814009450696282
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,4,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.24315872704862873
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,5,0091,Brachystegia Benth.,0.28555073930056274
0095,Brosimum alicastrum Swartz,1,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.15064927475991013
0095,Brosimum alicastrum Swartz,2,0045,Anopyxis klaineana (Pierre) Engl.,0.17929184397268935
0095,Brosimum alicastrum Swartz,3,0236,Dipterocarpus C.F.Gaertn.,0.22232933695038656
0095,Brosimum alicastrum Swartz,4,0295,Fraxinus nigra Marshall,0.23944050482894044
0095,Brosimum alicastrum Swartz,5,0238,Dipterocarpus kerrii King,0.24309331619520833
0096,Brosimum guianense (Aubl.) Huber ex Ducke,1,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.40065548498472325
0096,Brosimum guianense (Aubl.) Huber ex Ducke,2,0354,Intsia bijuga (Colebr.) Kuntze,0.4659915988047915
0096,Brosimum guianense (Aubl.) Huber ex Ducke,3,0207,Dalbergia nigra (Vell.) Allemão ex Benth.,0.4816082871294899
0096,Brosimum guianense (Aubl.) Huber ex Ducke,4,0034,Anacardium L.,0.5094867472581461
0096,Brosimum guianense (Aubl.) Huber ex Ducke,5,0009,Leptolobium Vogel,0.5122851271983982
0114,Cantleya corniculata (Becc.) R.A.Howard,1,0323,Guibourtia demeusei (Harms) J.Léonard,0.3429388470444894
0114,Cantleya corniculata (Becc.) R.A.Howard,2,0326,Guibourtia ehie (A. Chev.) J. Léonard,0.41865173905702535
0114,Cantleya corniculata (Becc.) R.A.Howard,3,0256,Entandrophragma angolense (Welw.) Panshin,0.4616036104133511
0114,Cantleya corniculata (Becc.) R.A.Howard,4,0461,Ochroma pyramidale (Cav. ex Lam.) Urb.,0.4628991637248113
0114,Cantleya corniculata (Becc.) R.A.Howard,5,0331,Heritiera utilis (Sprague) Sprague,0.48182980752941096
0115,Carapa guianensis Aubl.,1,0214,Daniellia thurifera Benn.,0.3682516310584688
0115,Carapa guianensis Aubl.,2,0258,Entandrophragma cylindricum (Sprague) Sprague,0.3713248998125951
0115,Carapa guianensis Aubl.,3,0608,Swietenia mahagoni (L.) Jacq.,0.4569454922374221
0115,Carapa guianensis Aubl.,4,0070,Bagassa guianensis Aubl.,0.48144760495451194
0115,Carapa guianensis Aubl.,5,0003,Acacia mangium Willd.,0.5004070534524022
0129,Castanea crenata Siebold & Zucc.,1,0130,Castanea sativa Mill.,0.18118975757986464
0129,Castanea crenata Siebold & Zucc.,2,0553,Quercus petraea (Matt.) Liebl.,0.3689795641862363
0129,Castanea crenata Siebold & Zucc.,3,0554,Quercus robur L.,0.41471447764855907
0129,Castanea crenata Siebold & Zucc.,4,0550,Quercus mongolica Fisch. ex Ledeb.,0.4373688580849372
0129,Castanea crenata Siebold & Zucc.,5,0552,Quercus alba L.,0.4466829096629543
