species_a,species_a_name,species_b,species_b_name,inter_distance,intra_a,intra_b,contrast
0114,Cantleya corniculata (Becc.) R.A.Howard,0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.5737545833225589,0.5805310376179519,0.10003326503781798,-0.006776454295392975
0115,Carapa guianensis Aubl.,0606,Swietenia humilis Zucc.,0.4471979242131686,0.45301009815803,0.03956854200666897,-0.005812173944861387
0129,Castanea crenata Siebold & Zucc.,0130,Castanea sativa Mill.,0.15035092059083302,0.01642495583191611,0.15586720528769307,-0.005516284696860052
0035,Anacardium giganteum Hancock ex Engl.,0095,Brosimum alicastrum Swartz,0.4368448386721555,0.20568448529299813,0.4413660741827014,-0.004521235510545896
0181,Cotylelobium Pierre,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.3657442251533418,0.2627628502619556,0.36823324125981255,-0.0024890161064707317
0375,Koompassia malaccensis Maing.,0426,Microberlinia brazzavillensis A. Chev.,0.23715097089336032,0.03982575224826281,0.23957417592531832,-0.0024232050319580034
0003,Acacia mangium Willd.,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.3556821984048879,0.23412845438956545,0.35777892083270585,-0.002096722427817943
0041,Aniba rosodora Ducke,0366,Juglans regia L.,0.06486421214517504,0.0656528117264906,0.0161593253050704,-0.0007885995813155522
0066,Aucoumea klaineana Pierre,0367,Juglans nigra L.,0.1682542115672513,0.1689848833310126,0.02005651109636719,-0.0007306717637613203
0041,Aniba rosodora Ducke,0418,Mansonia altissima (A. Chev.) A. Chev.,0.06621092638272671,0.0656528117264906,0.012409313496156668,0.0005581146562361194
0066,Aucoumea klaineana Pierre,0648,Triplochiton scleroxylon K. Schum.,0.16998581225981776,0.1689848833310126,0.16453642510521302,0.001000928928805156
0552,Quercus alba L.,0553,Quercus petraea (Matt.) Liebl.,0.2594230640277586,0.11942757291818792,0.2581276659186852,0.0012953981090734201
0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0479,Peltogyne catingae Ducke,0.6055010981368847,0.6037041179533492,0.05022355401665795,0.0017969801835354682
0073,Balfourodendron riedelianum (Engl.) Engl.,0621,Tectona grandis L.,0.5435097637370749,0.38391787966371865,0.5414864270518914,0.0020233366851835077
0045,Anopyxis klaineana (Pierre) Engl.,0313,Grevillea robusta A.Cunn. ex R.Br.,0.4289122713740628,0.42664489754293794,0.2838740990600396,0.0022673738311248526
0034,Anacardium L.,0096,Brosimum guianense (Aubl.) Huber ex Ducke,0.47051989349457546,0.36896207906881207,0.468233813156223,0.002286080338352481
0323,Guibourtia demeusei (Harms) J.Léonard,0353,Intsia Thouars,0.48915094538581416,0.35528177474147954,0.48641128958703317,0.0027396557987809933
0147,Ceiba pentandra (L.) Gaertn.,0238,Dipterocarpus kerrii King,0.10204665631434792,0.09920852062625649,0.03389503762998255,0.0028381356880914366
0006,Acer platanoides L.,0461,Ochroma pyramidale (Cav. ex Lam.) Urb.,0.19338552785772342,0.18973256215443007,0.09605455767171649,0.0036529657032933482
0030,Amburana cearensis (Allemão) A.C.Sm.,0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.2736227820877635,0.26876027711533945,0.10003326503781798,0.004862504972424075
0091,Brachystegia Benth.,0375,Koompassia malaccensis Maing.,0.37542707011522297,0.36962746064415636,0.03982575224826281,0.0057996094710666135
0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0431,Millettia laurentii De Wild.,0.6095978060279834,0.6037041179533492,0.14784264520810295,0.005893688074634196
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0181,Cotylelobium Pierre,0.26879112262097044,0.07482690115830566,0.2627628502619556,0.006028272359014819
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0354,Intsia bijuga (Colebr.) Kuntze,0.4162895043813202,0.4099958913427453,0.29407015717558727,0.006293613038574897
0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0478,Peltogyne Vogel,0.6111707809559942,0.6037041179533492,0.1811470023936011,0.00746666300264498
0003,Acacia mangium Willd.,0030,Amburana cearensis (Allemão) A.C.Sm.,0.2769347786505397,0.23412845438956545,0.26876027711533945,0.008174501535200274
0195,Ctenolophon parvifolius Oliv.,0238,Dipterocarpus kerrii King,0.2413004189615895,0.23093942479410615,0.03389503762998255,0.010360994167483345
0550,Quercus mongolica Fisch. ex Ledeb.,0553,Quercus petraea (Matt.) Liebl.,0.26877125496388166,0.0339628776830313,0.2581276659186852,0.010643589045196467
0195,Ctenolophon parvifolius Oliv.,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.37945516633025655,0.23093942479410615,0.36823324125981255,0.011221925070444005
0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.3799452127513634,0.07482690115830566,0.36823324125981255,0.011711971491550843
0071,Baikiaea plurijuga Harms,0418,Mansonia altissima (A. Chev.) A. Chev.,0.5910093790084257,0.5781517144448926,0.012409313496156668,0.0128576645635331
0035,Anacardium giganteum Hancock ex Engl.,0238,Dipterocarpus kerrii King,0.2200906348459077,0.20568448529299813,0.03389503762998255,0.014406149552909586
0091,Brachystegia Benth.,0478,Peltogyne Vogel,0.3840832767357069,0.36962746064415636,0.1811470023936011,0.014455816091550555
0071,Baikiaea plurijuga Harms,0542,Pycnanthus angolensis (Welw.) Warb.,0.5928234646851345,0.5781517144448926,0.07234546467128498,0.014671750240241921
0214,Daniellia thurifera Benn.,0258,Entandrophragma cylindricum (Sprague) Sprague,0.42098991857975226,0.4049723941201597,0.25242647174716004,0.01601752445959259
0071,Baikiaea plurijuga Harms,0366,Juglans regia L.,0.5943611413781787,0.5781517144448926,0.0161593253050704,0.016209426933286197
0195,Ctenolophon parvifolius Oliv.,0295,Fraxinus nigra Marshall,0.24735007877409096,0.23093942479410615,0.022324164890242817,0.016410653979984813
0195,Ctenolophon parvifolius Oliv.,0621,Tectona grandis L.,0.5590930136885027,0.23093942479410615,0.5414864270518914,0.0176065866366113
0114,Cantleya corniculata (Becc.) R.A.Howard,0181,Cotylelobium Pierre,0.5981544244557864,0.5805310376179519,0.2627628502619556,0.017623386837834487
0244,Dryobalanops C.F.Gaertn.,0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0.6221849706145682,0.03512342815501089,0.6037041179533492,0.018480852661219016
0096,Brosimum guianense (Aubl.) Huber ex Ducke,0354,Intsia bijuga (Colebr.) Kuntze,0.48724552844685415,0.468233813156223,0.29407015717558727,0.01901171529063117
0030,Amburana cearensis (Allemão) A.C.Sm.,0034,Anacardium L.,0.388649343772852,0.26876027711533945,0.36896207906881207,0.01968726470403992
