species_id,species_name,rank,neighbor_id,neighbor_name,distance
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,4,0302,Gilbertiodendron preussii (Harms) J.Léonard,0.3256356295399795
0093,Brachystegia laurentii (De Wild.) Louis ex J.Léonard,5,0091,Brachystegia Benth.,0.3515489551948223
0095,Brosimum alicastrum Swartz,1,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.357581077922036
0095,Brosimum alicastrum Swartz,2,0236,Dipterocarpus C.F.Gaertn.,0.3603709560350902
0095,Brosimum alicastrum Swartz,3,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.41070989898706445
0095,Brosimum alicastrum Swartz,4,0045,Anopyxis klaineana (Pierre) Engl.,0.4193202459473425
0095,Brosimum alicastrum Swartz,5,0181,Cotylelobium Pierre,0.4235686898850097
0096,Brosimum guianense (Aubl.) Huber ex Ducke,1,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.3892871270494105
0096,Brosimum guianense (Aubl.) Huber ex Ducke,2,0158,"Chlorocardium rodiei (R.H.Schomb.) Rohwer, H.G.Richt. & van der Werff",0.3958559489995904
0096,Brosimum guianense (Aubl.) Huber ex Ducke,3,0091,Brachystegia Benth.,0.4547448692975966
0096,Brosimum guianense (Aubl.) Huber ex Ducke,4,0034,Anacardium L.,0.47051989349457546
0096,Brosimum guianense (Aubl.) Huber ex Ducke,5,0354,Intsia bijuga (Colebr.) Kuntze,0.48724552844685415
0114,Cantleya corniculata (Becc.) R.A.Howard,1,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.4582196771409163
0114,Cantleya corniculata (Becc.) R.A.Howard,2,0045,Anopyxis klaineana (Pierre) Engl.,0.49545163737565373
0114,Cantleya corniculata (Becc.) R.A.Howard,3,0425,Mezilaurus ita-uba (Meisn.) Taub. ex Mez,0.5264084395869429
0114,Cantleya corniculata (Becc.) R.A.Howard,4,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.5413044829254658
0114,Cantleya corniculata (Becc.) R.A.Howard,5,0096,Brosimum guianense (Aubl.) Huber ex Ducke,0.552193066924844
0115,Carapa guianensis Aubl.,1,0214,Daniellia thurifera Benn.,0.2565217208681283
0115,Carapa guianensis Aubl.,2,0258,Entandrophragma cylindricum (Sprague) Sprague,0.36793580335844495
0115,Carapa guianensis Aubl.,3,0606,Swietenia humilis Zucc.,0.4471979242131686
0115,Carapa guianensis Aubl.,4,0073,Balfourodendron riedelianum (Engl.) Engl.,0.4936081003854244
0115,Carapa guianensis Aubl.,5,0003,Acacia mangium Willd.,0.49385338887380514
0129,Castanea crenata Siebold & Zucc.,1,0130,Castanea sativa Mill.,0.15035092059083302
0129,Castanea crenata Siebold & Zucc.,2,0553,Quercus petraea (Matt.) Liebl.,0.2964802392787419
0129,Castanea crenata Siebold & Zucc.,3,0550,Quercus mongolica Fisch. ex Ledeb.,0.4516050442074043
0129,Castanea crenata Siebold & Zucc.,4,0367,Juglans nigra L.,0.47503329008931205
0129,Castanea crenata Siebold & Zucc.,5,0648,Triplochiton scleroxylon K. Schum.,0.4776398294073793
0130,Castanea sativa Mill.,1,0129,Castanea crenata Siebold & Zucc.,0.15035092059083302
0130,Castanea sativa Mill.,2,0553,Quercus petraea (Matt.) Liebl.,0.43035081259822006
0130,Castanea sativa Mill.,3,0550,Quercus mongolica Fisch. ex Ledeb.,0.43326832115690533
0130,Castanea sativa Mill.,4,0367,Juglans nigra L.,0.5717733414981103
0130,Castanea sativa Mill.,5,0648,Triplochiton scleroxylon K. Schum.,0.5757029026483753
0147,Ceiba pentandra (L.) Gaertn.,1,0238,Dipterocarpus kerrii King,0.10204665631434792
0147,Ceiba pentandra (L.) Gaertn.,2,0035,Anacardium giganteum Hancock ex Engl.,0.18350967962068315
0147,Ceiba pentandra (L.) Gaertn.,3,0295,Fraxinus nigra Marshall,0.2029021393797251
0147,Ceiba pentandra (L.) Gaertn.,4,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.2062319738898673
0147,Ceiba pentandra (L.) Gaertn.,5,0236,Dipterocarpus C.F.Gaertn.,0.28035367330244687
0157,Ceriops tagal (Perr.) C.B. Robinson,1,0041,Aniba rosodora Ducke,0.2431085881860415
0157,Ceriops tagal (Perr.) C.B. Robinson,2,0418,Mansonia altissima (A. Chev.) A. Chev.,0.2731605257812255
0157,Ceriops tagal (Perr.) C.B. Robinson,3,0366,Juglans regia L.,0.2884011627386608
0157,Ceriops tagal (Perr.) C.B. Robinson,4,0313,Grevillea robusta A.Cunn. ex R.Br.,0.30132244072914055
